Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Directional Deformation (mm)
789	1000.	880.	0.	0.
790	1000.	890.	0.	0.
791	1000.	900.	0.	0.
792	1000.	910.	0.	0.
793	1000.	920.	0.	0.
794	1000.	930.	0.	0.
795	1000.	940.	0.	0.
796	1000.	950.	0.	0.
797	1000.	960.	0.	0.
798	1000.	970.	0.	0.
799	1000.	980.	0.	0.
800	1000.	990.	0.	0.
801	-4.9068e-002	10.012	0.	1.073
802	-2.9939e-002	9.4361e-003	0.	1.0732
803	9.9701	1.8813e-002	0.	1.073
804	-7.6096e-002	20.014	0.	1.0724
805	9.9481	10.025	0.	1.0728
806	-10.043	10.003	0.	1.0728
807	-1.4651e-002	-9.9931	0.	1.073
808	-10.014	-9.9982	0.	1.0728
809	9.9854	-9.986	0.	1.0728
810	-10.063	20.002	0.	1.0722
811	-20.012	-10.001	0.	1.0722
812	9.9215	20.033	0.	1.0722
813	19.95	10.042	0.	1.0722
814	9.9967	-19.99	0.	1.0722
815	-20.048	19.996	0.	1.0717
816	-20.008	-20.002	0.	1.0717
817	-20.034	9.9982	0.	1.0722
818	-9.4563e-002	30.016	0.	1.0715
819	-5.7908e-003	-19.995	0.	1.0724
820	-10.008	-19.999	0.	1.0722
821	-30.011	-10.002	0.	1.0713
822	19.929	20.055	0.	1.0717
823	20.	-19.984	0.	1.0717
824	-30.036	19.995	0.	1.0707
825	-20.061	29.993	0.	1.0707
826	-20.01	-30.004	0.	1.0707
827	-30.011	-20.004	0.	1.0707
828	-30.025	9.9971	0.	1.0713
829	19.902	30.071	0.	1.0707
830	29.956	10.053	0.	1.0713
831	29.99	-9.9728	0.	1.0713
832	-10.084	39.996	0.	1.07
833	30.004	-19.981	0.	1.0707
834	10.003	-29.993	0.	1.0713
835	-10.006	-30.001	0.	1.0713
836	-40.01	-10.001	0.	1.07
837	-20.062	39.987	0.	1.0694
838	-30.015	-30.007	0.	1.0698
839	29.914	30.095	0.	1.0698
840	-0.10009	40.015	0.	1.0702
841	9.8925	40.047	0.	1.07
842	30.013	-29.986	0.	1.0698
843	-40.017	9.9986	0.	1.07
844	-30.044	39.986	0.	1.0685
845	-40.024	19.997	0.	1.0694
846	-40.029	29.994	0.	1.0685
