Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Shear Elastic Strain (mm/mm)
14535	720.	330.	0.	1.6771e-006
14536	720.	320.	0.	-1.6328e-006
14536	720.	320.	0.	1.6328e-006
14537	720.	310.	0.	-1.5878e-006
14537	720.	310.	0.	1.5878e-006
14538	720.	290.	0.	-1.496e-006
14538	720.	290.	0.	1.496e-006
14539	720.	280.	0.	-1.4492e-006
14539	720.	280.	0.	1.4492e-006
14540	720.	270.	0.	-1.4018e-006
14540	720.	270.	0.	1.4018e-006
14541	720.	250.	0.	-1.3056e-006
14541	720.	250.	0.	1.3056e-006
14542	720.	230.	0.	-1.2075e-006
14542	720.	230.	0.	1.2075e-006
14543	720.	210.	0.	-1.1077e-006
14543	720.	210.	0.	1.1077e-006
14544	720.	199.99	0.	-1.0572e-006
14544	720.	199.99	0.	1.0572e-006
14545	719.99	189.99	0.	-1.0064e-006
14545	719.99	189.99	0.	1.0064e-006
14546	719.99	179.98	0.	-9.552e-007
14546	719.99	179.98	0.	9.552e-007
14547	719.99	169.97	0.	-9.037e-007
14547	719.99	169.97	0.	9.037e-007
14548	720.	149.94	0.	-7.9979e-007
14548	720.	149.94	0.	7.9979e-007
14549	720.01	129.91	0.	-6.9487e-007
14549	720.01	129.91	0.	6.9487e-007
14550	720.01	109.89	0.	-5.8919e-007
14550	720.01	109.89	0.	5.8919e-007
14551	720.	89.91	0.	-4.83e-007
14551	720.	89.91	0.	4.83e-007
14552	720.	69.948	0.	-3.7635e-007
14552	720.	69.948	0.	3.7635e-007
14553	720.	49.977	0.	-2.6921e-007
14553	720.	49.977	0.	2.6921e-007
14554	720.	29.993	0.	-1.6168e-007
14554	720.	29.993	0.	1.6168e-007
14555	720.	-10.	0.	5.3928e-008
14555	720.	-10.	0.	-5.3928e-008
14556	720.	-20.	0.	1.0784e-007
14556	720.	-20.	0.	-1.0784e-007
14557	720.	-30.	0.	1.6172e-007
14557	720.	-30.	0.	-1.6172e-007
14558	720.	-50.	0.	2.6932e-007
14558	720.	-50.	0.	-2.6932e-007
14559	720.	-60.	0.	3.2302e-007
14559	720.	-60.	0.	-3.2302e-007
14560	720.	-70.	0.	3.7662e-007
14560	720.	-70.	0.	-3.7662e-007
14561	720.	-80.	0.	4.3011e-007
14561	720.	-80.	0.	-4.3011e-007
14562	720.	-90.	0.	4.8348e-007
14562	720.	-90.	0.	-4.8348e-007
14563	720.	-100.	0.	5.367e-007
14563	720.	-100.	0.	-5.367e-007
14564	720.	-110.	0.	5.8977e-007
14564	720.	-110.	0.	-5.8977e-007
14565	720.	-130.	0.	6.9535e-007
14565	720.	-130.	0.	-6.9535e-007
14566	720.	-140.	0.	7.4784e-007
14566	720.	-140.	0.	-7.4784e-007
14567	720.	-150.	0.	8.0009e-007
14567	720.	-150.	0.	-8.0009e-007
14568	720.	-160.	0.	8.521e-007
14568	720.	-160.	0.	-8.521e-007
14569	720.	-170.	0.	9.0383e-007
14569	720.	-170.	0.	-9.0383e-007
14570	720.	-190.	0.	1.0064e-006
14570	720.	-190.	0.	-1.0064e-006
14571	720.	-210.	0.	1.1077e-006
14571	720.	-210.	0.	-1.1077e-006
14572	720.	-230.	0.	1.2075e-006
14572	720.	-230.	0.	-1.2075e-006
14573	720.	-250.	0.	1.3056e-006
14573	720.	-250.	0.	-1.3056e-006
14574	720.	-270.	0.	1.4018e-006
14574	720.	-270.	0.	-1.4018e-006
14575	720.	-290.	0.	1.496e-006
14575	720.	-290.	0.	-1.496e-006
14576	720.	-300.	0.	1.5422e-006
14576	720.	-300.	0.	-1.5422e-006
14577	720.	-310.	0.	1.5878e-006
14577	720.	-310.	0.	-1.5878e-006
14578	720.	-320.	0.	1.6328e-006
14578	720.	-320.	0.	-1.6328e-006
14579	720.	-330.	0.	1.6771e-006
14579	720.	-330.	0.	-1.6771e-006
14580	720.	-350.	0.	1.7636e-006
14580	720.	-350.	0.	-1.7636e-006
14581	720.	-370.	0.	1.847e-006
14581	720.	-370.	0.	-1.847e-006
14582	720.	-390.	0.	1.927e-006
14582	720.	-390.	0.	-1.927e-006
14583	720.	-420.	0.	2.04e-006
14583	720.	-420.	0.	-2.04e-006
